race,horse_name,post_position,morn_line_odds_if_available,final_rating,overall_rank,integrated_fitness_score,form_cycle_state,pace_advantage,class_move_projection,key_angles,prediction_confidence
5,SEEKING UNITY,10,8.0,59.587755294762445,7.0,46.337541824452906,IMPROVING,Even_chance,Questionable,None,90
5,UNBRIDLED BOMBER,1,30.0,57.68358795120829,8.0,52.05791888361813,FRESHENING,Even_chance,Appropriate_level,None,75
5,DREAMLIKE,7,4.5,54.114148088524225,9.0,48.11204165866047,FRESHENING,Even_chance,Questionable,None,75
5,GOOD SKATE,3,15.0,52.870515345240165,10.0,49.32934082473581,DECLINING,Even_chance,Appropriate_level,None,75
6,MISS JUSTIFY,6,12.0,58.95461927672414,1.0,58.11829190868776,FRESHENING,Even_chance,Questionable,"Top_rated, Value_play",75
6,JUSTIQUE,5,12.0,56.6751623851678,2.0,58.80671411292529,IMPROVING,Even_chance,Questionable,Value_play,90
6,ST. BENEDICTS PREP,7,20.0,55.3837899060433,3.0,52.846055956418674,DECLINING,Even_chance,Questionable,Value_play,75
6,SCYLLA,2,2.5,54.85661995907689,4.0,54.705966648344486,FRESHENING,Even_chance,Questionable,None,75
6,IRISH MAXIMA,1,6.0,52.33523597037041,5.0,50.461212002704514,FRESHENING,Even_chance,Questionable,None,75
6,WAYS AND MEANS,3,1.2,52.19725053280086,6.0,51.99619839499061,FRESHENING,Even_chance,Questionable,None,75
6,JODY'S PRIDE,4,4.5,51.61402934049779,7.0,51.835130813649016,FRESHENING,Even_chance,Questionable,None,75
7,ROYALTY RATE,4,8.0,112.01053144283213,1.0,60.67361694829745,,Even_chance,Likely_success,Top_rated,75
7,LADY RIVER LILY,2,50.0,80.63149838595628,2.0,41.911501040560246,DECLINING,Even_chance,Likely_success,Value_play,75
7,HOPE MISSION,1,15.0,77.9680152955309,3.0,49.248274092877594,STABLE,Even_chance,Likely_success,Value_play,85
7,SPOOL,11,10.0,74.09971107768706,4.0,58.004409952336005,FRESHENING,Even_chance,Likely_success,None,75
7,OUR LIBERTY BELLE,16,4.0,68.5582909661416,5.0,46.748051591210746,DECLINING,Even_chance,Likely_success,None,75
7,BIG BEAUTIFUL,6,12.0,67.06829561894911,6.0,46.82685076522913,FRESHENING,Even_chance,Likely_success,None,75
7,NEXT ON STAGE,9,15.0,63.82967975807697,7.0,51.701085451624074,FRESHENING,Even_chance,Likely_success,None,75
7,TEMPLE CITY TABOO,5,50.0,62.09218038986379,8.0,53.35029379593599,RECOVERING,Even_chance,Questionable,None,75
7,BEST IMPRESSION,14,15.0,61.31418476248282,9.0,51.67112757429243,FRESHENING,Even_chance,Questionable,None,75
7,STORM MIAMI,8,15.0,61.11186253987853,10.0,59.09077346946554,FRESHENING,Even_chance,Questionable,None,75
7,SAVE US MELANIA,15,1.6,60.12409825940053,11.0,47.94034234263889,IMPROVING,Even_chance,Questionable,None,90
7,WRIGLEYVILLE,10,10.0,56.98395646848468,12.0,49.00159302200771,FRESHENING,Even_chance,Questionable,None,75
7,MYSTIFYING,3,2.0,55.105096000445734,13.0,44.112589628539894,FRESHENING,Even_chance,Questionable,None,75
7,LOUISE PROCTER,7,4.0,52.38285759151345,14.0,54.351578439198136,INSUFFICIENT_DATA,Even_chance,,None,75
7,UNREASONABLE,12,6.0,50.71219422918779,15.0,46.43948666745988,INSUFFICIENT_DATA,Even_chance,Questionable,None,75
7,ANY PORT,13,20.0,43.03404963804527,16.0,35.89371903669773,DECLINING,Even_chance,Questionable,None,75
8,SPUN,13,12.0,107.87332853432825,1.0,57.59031643356643,,Must_close_into_slow_pace,Appropriate_level,"Top_rated, Value_play",75
8,SOLUTIONS,9,12.0,104.65592836133668,2.0,56.33564303163803,,Must_close_into_slow_pace,Appropriate_level,Value_play,75
8,BOBBY BOB,2,30.0,103.30512419887155,3.0,44.39505145939403,STABLE,Must_close_into_slow_pace,Appropriate_level,Value_play,85
